target,target_label,target_group,rank_within_target,predictor,predictor_label,n,pearson_r,spearman_rho,r2,rmse,mae,bias,slope,intercept,equation
et_base_out_mm_d,ET diaria (mismo día),mismo_dia,1,SAVI_mean,SAVI,9,0.814,0.683,0.663,0.223,0.204,-0.0,3.929,1.149,ET = 1.149 + 3.929 × SAVI
et_base_out_mm_d,ET diaria (mismo día),mismo_dia,2,NDVI_mean,NDVI,9,0.761,0.667,0.58,0.249,0.213,-0.0,3.536,0.706,ET = 0.706 + 3.536 × NDVI
et_base_out_mm_d,ET diaria (mismo día),mismo_dia,3,EVI_mean,EVI,9,0.742,0.817,0.551,0.257,0.23,-0.0,3.027,1.238,ET = 1.238 + 3.027 × EVI
et_base_out_mm_d,ET diaria (mismo día),mismo_dia,4,NDRE_mean,NDRE,9,0.682,0.567,0.465,0.281,0.226,-0.0,3.973,1.068,ET = 1.068 + 3.973 × NDRE
et_base_out_mm_d_w3_mean,ET media móvil 3 días (incluye día satelital),media_movil,1,NDVI_mean,NDVI,9,0.601,0.667,0.361,0.115,0.092,-0.0,1.042,1.702,ET = 1.702 + 1.042 × NDVI
et_base_out_mm_d_w3_mean,ET media móvil 3 días (incluye día satelital),media_movil,2,SAVI_mean,SAVI,9,0.512,0.533,0.262,0.123,0.098,-0.0,0.923,1.907,ET = 1.907 + 0.923 × SAVI
et_base_out_mm_d_w3_mean,ET media móvil 3 días (incluye día satelital),media_movil,3,NDRE_mean,NDRE,9,0.44,0.45,0.193,0.129,0.101,-0.0,0.956,1.88,ET = 1.880 + 0.956 × NDRE
et_base_out_mm_d_w3_mean,ET media móvil 3 días (incluye día satelital),media_movil,4,EVI_mean,EVI,9,0.365,0.417,0.133,0.133,0.107,-0.0,0.555,1.987,ET = 1.987 + 0.555 × EVI
et_base_out_mm_d_w3_sum,ET acumulada 3 días (incluye día satelital),acumulada,1,EVI_mean,EVI,9,0.113,0.367,0.013,0.86,0.545,-0.0,1.039,5.965,ET = 5.965 + 1.039 × EVI
et_base_out_mm_d_w3_sum,ET acumulada 3 días (incluye día satelital),acumulada,2,NDRE_mean,NDRE,9,-0.11,0.15,0.012,0.86,0.601,-0.0,-1.439,6.839,ET = 6.839 - 1.439 × NDRE
et_base_out_mm_d_w3_sum,ET acumulada 3 días (incluye día satelital),acumulada,3,SAVI_mean,SAVI,9,0.097,0.333,0.009,0.861,0.54,-0.0,1.059,6.025,ET = 6.025 + 1.059 × SAVI
et_base_out_mm_d_w3_sum,ET acumulada 3 días (incluye día satelital),acumulada,4,NDVI_mean,NDVI,9,0.05,0.45,0.002,0.864,0.541,-0.0,0.522,6.112,ET = 6.112 + 0.522 × NDVI
et_base_out_mm_d_w5_mean,ET media móvil 5 días (incluye día satelital),media_movil,1,NDVI_mean,NDVI,9,0.67,0.636,0.449,0.117,0.099,0.0,1.283,1.512,ET = 1.512 + 1.283 × NDVI
et_base_out_mm_d_w5_mean,ET media móvil 5 días (incluye día satelital),media_movil,2,NDRE_mean,NDRE,9,0.583,0.502,0.34,0.128,0.108,0.0,1.4,1.658,ET = 1.658 + 1.400 × NDRE
et_base_out_mm_d_w5_mean,ET media móvil 5 días (incluye día satelital),media_movil,3,SAVI_mean,SAVI,9,0.411,0.268,0.169,0.144,0.105,0.0,0.818,1.865,ET = 1.865 + 0.818 × SAVI
et_base_out_mm_d_w5_mean,ET media móvil 5 días (incluye día satelital),media_movil,4,EVI_mean,EVI,9,0.18,0.444,0.032,0.156,0.095,0.0,0.302,2.008,ET = 2.008 + 0.302 × EVI
et_base_out_mm_d_w5_sum,ET acumulada 5 días (incluye día satelital),acumulada,1,NDRE_mean,NDRE,9,-0.181,0.184,0.033,2.127,1.529,0.0,-5.928,11.886,ET = 11.886 - 5.928 × NDRE
et_base_out_mm_d_w5_sum,ET acumulada 5 días (incluye día satelital),acumulada,2,NDVI_mean,NDVI,9,-0.053,0.435,0.003,2.159,1.495,0.0,-1.4,10.58,ET = 10.580 - 1.400 × NDVI
et_base_out_mm_d_w5_sum,ET acumulada 5 días (incluye día satelital),acumulada,3,SAVI_mean,SAVI,9,-0.038,0.134,0.001,2.161,1.481,0.0,-1.039,10.242,ET = 10.242 - 1.039 × SAVI
et_base_out_mm_d_w5_sum,ET acumulada 5 días (incluye día satelital),acumulada,4,EVI_mean,EVI,9,-0.016,0.377,0.0,2.162,1.475,0.0,-0.368,10.053,ET = 10.053 - 0.368 × EVI
et_base_out_mm_d_w7_mean,ET media móvil 7 días (incluye día satelital),media_movil,1,NDVI_mean,NDVI,9,0.597,0.467,0.357,0.112,0.094,-0.0,1.009,1.602,ET = 1.602 + 1.009 × NDVI
et_base_out_mm_d_w7_mean,ET media móvil 7 días (incluye día satelital),media_movil,2,NDRE_mean,NDRE,9,0.431,0.25,0.186,0.126,0.107,-0.0,0.913,1.779,ET = 1.779 + 0.913 × NDRE
et_base_out_mm_d_w7_mean,ET media móvil 7 días (incluye día satelital),media_movil,3,SAVI_mean,SAVI,9,0.347,0.283,0.121,0.131,0.104,-0.0,0.61,1.89,ET = 1.890 + 0.610 × SAVI
et_base_out_mm_d_w7_mean,ET media móvil 7 días (incluye día satelital),media_movil,4,EVI_mean,EVI,9,0.077,0.15,0.006,0.139,0.102,-0.0,0.114,2.039,ET = 2.039 + 0.114 × EVI
et_base_out_mm_d_w7_sum,ET acumulada 7 días (incluye día satelital),acumulada,1,NDRE_mean,NDRE,9,-0.294,-0.167,0.087,3.241,2.417,0.0,-15.155,18.45,ET = 18.450 - 15.155 × NDRE
