target,target_label,target_group,rank_within_target,predictor,predictor_label,n,pearson_r,spearman_rho
et_base_out_mm_d,ET diaria (mismo día),mismo_dia,1,SAVI_mean,SAVI,8,0.9,0.833
et_base_out_mm_d,ET diaria (mismo día),mismo_dia,2,NDVI_mean,NDVI,8,0.87,0.714
et_base_out_mm_d,ET diaria (mismo día),mismo_dia,3,NDRE_mean,NDRE,8,0.843,0.738
et_base_out_mm_d,ET diaria (mismo día),mismo_dia,4,EVI_mean,EVI,8,0.811,0.857
et_base_out_mm_d_w3_mean,ET media móvil 3 días (incluye día satelital),media_movil,1,NDVI_mean,NDVI,8,0.715,0.762
et_base_out_mm_d_w3_mean,ET media móvil 3 días (incluye día satelital),media_movil,2,NDRE_mean,NDRE,8,0.606,0.69
et_base_out_mm_d_w3_mean,ET media móvil 3 días (incluye día satelital),media_movil,3,SAVI_mean,SAVI,8,0.596,0.762
et_base_out_mm_d_w3_mean,ET media móvil 3 días (incluye día satelital),media_movil,4,EVI_mean,EVI,8,0.383,0.643
et_base_out_mm_d_w3_sum,ET acumulada 3 días (incluye día satelital),acumulada,1,NDVI_mean,NDVI,8,0.715,0.762
et_base_out_mm_d_w3_sum,ET acumulada 3 días (incluye día satelital),acumulada,2,NDRE_mean,NDRE,8,0.606,0.69
et_base_out_mm_d_w3_sum,ET acumulada 3 días (incluye día satelital),acumulada,3,SAVI_mean,SAVI,8,0.596,0.762
et_base_out_mm_d_w3_sum,ET acumulada 3 días (incluye día satelital),acumulada,4,EVI_mean,EVI,8,0.383,0.643
et_base_out_mm_d_w5_mean,ET media móvil 5 días (incluye día satelital),media_movil,1,NDVI_mean,NDVI,8,0.743,0.714
et_base_out_mm_d_w5_mean,ET media móvil 5 días (incluye día satelital),media_movil,2,NDRE_mean,NDRE,8,0.691,0.643
et_base_out_mm_d_w5_mean,ET media móvil 5 días (incluye día satelital),media_movil,3,SAVI_mean,SAVI,8,0.588,0.524
et_base_out_mm_d_w5_mean,ET media móvil 5 días (incluye día satelital),media_movil,4,EVI_mean,EVI,8,0.336,0.548
et_base_out_mm_d_w5_sum,ET acumulada 5 días (incluye día satelital),acumulada,1,NDVI_mean,NDVI,8,0.743,0.714
et_base_out_mm_d_w5_sum,ET acumulada 5 días (incluye día satelital),acumulada,2,NDRE_mean,NDRE,8,0.691,0.643
et_base_out_mm_d_w5_sum,ET acumulada 5 días (incluye día satelital),acumulada,3,SAVI_mean,SAVI,8,0.588,0.524
et_base_out_mm_d_w5_sum,ET acumulada 5 días (incluye día satelital),acumulada,4,EVI_mean,EVI,8,0.336,0.548
et_base_out_mm_d_w7_mean,ET media móvil 7 días (incluye día satelital),media_movil,1,NDVI_mean,NDVI,8,0.607,0.476
et_base_out_mm_d_w7_mean,ET media móvil 7 días (incluye día satelital),media_movil,2,NDRE_mean,NDRE,8,0.453,0.19
et_base_out_mm_d_w7_mean,ET media móvil 7 días (incluye día satelital),media_movil,3,SAVI_mean,SAVI,8,0.395,0.262
et_base_out_mm_d_w7_mean,ET media móvil 7 días (incluye día satelital),media_movil,4,EVI_mean,EVI,8,0.077,0.071
et_base_out_mm_d_w7_sum,ET acumulada 7 días (incluye día satelital),acumulada,1,NDVI_mean,NDVI,8,0.607,0.476
et_base_out_mm_d_w7_sum,ET acumulada 7 días (incluye día satelital),acumulada,2,NDRE_mean,NDRE,8,0.453,0.19
et_base_out_mm_d_w7_sum,ET acumulada 7 días (incluye día satelital),acumulada,3,SAVI_mean,SAVI,8,0.395,0.262
et_base_out_mm_d_w7_sum,ET acumulada 7 días (incluye día satelital),acumulada,4,EVI_mean,EVI,8,0.077,0.071
