metric,value
n_obs_analysis_ready,9.0
date_start,
date_end,
n_correlations,28.0
n_regressions,28.0
n_best_models,7.0
n_predictors_tested,4.0
n_targets_tested,7.0
et_base_out_mm_d_mean,2.39
et_base_out_mm_d_std,0.407
et_base_out_mm_d_min,1.8
et_base_out_mm_d_max,2.9
NDVI_mean_mean,0.476
NDVI_mean_std,0.088
NDVI_mean_min,0.334
NDVI_mean_max,0.561
EVI_mean_mean,0.38
EVI_mean_std,0.1
EVI_mean_min,0.192
EVI_mean_max,0.536
SAVI_mean_mean,0.316
SAVI_mean_std,0.084
SAVI_mean_min,0.173
SAVI_mean_max,0.427
NDRE_mean_mean,0.333
NDRE_mean_std,0.07
NDRE_mean_min,0.225
NDRE_mean_max,0.413
valid_pixel_pct_mean,79.167
valid_pixel_pct_std,28.28
valid_pixel_pct_min,31.543
valid_pixel_pct_max,98.833
cloudy_pixel_percentage_mean,45.689
cloudy_pixel_percentage_std,21.19
cloudy_pixel_percentage_min,2.314
cloudy_pixel_percentage_max,70.485
n_selected_from_duplicates_true,8.0
n_selected_from_duplicates_false,1.0
