metric,value
target,et_base_out_mm_d
predictor,SAVI_mean
n_full,8
date_start,2025-08-20
date_end,2025-12-28
full_intercept,0.7730450279364329
full_slope,5.136603410407351
full_r2,0.8098969319393777
full_rmse,0.17318634924053536
full_mae,0.14606063682951087
full_bias,2.220446049250313e-16
full_pearson_r,0.8999427381446986
full_spearman_rho,0.8333333333333335
loo_min_r2,0.7218426395922017
loo_max_r2,0.8655622158091778
loo_min_pearson_r,0.8496132294121846
loo_max_pearson_r,0.9303559618818905
loo_max_abs_delta_r2,0.08805429234717599
loo_max_abs_delta_pearson_r,0.05032950873251396
loo_most_influential_date,2025-12-18
loo_most_influential_abs_delta_r2,0.08805429234717599
loo_most_influential_abs_delta_r,0.05032950873251396
bootstrap_slope_mean,5.12617145498145
bootstrap_slope_p02_5,3.6556755162591608
bootstrap_slope_p97_5,6.950286096359603
bootstrap_r2_mean,0.7961421361523756
bootstrap_r2_p02_5,0.4298660913051884
bootstrap_r2_p97_5,0.9832962297280331
bootstrap_pearson_r_mean,0.8871274032632864
bootstrap_pearson_r_p02_5,0.6505049366486438
bootstrap_pearson_r_p97_5,0.9916129432219775
permutation_observed_abs_r,0.8999427381446986
permutation_null_mean_abs_r,0.31435920949161883
permutation_null_p95_abs_r,0.7182560776740702
permutation_empirical_p_two_sided,0.005699430056994301
