date,n_records,pct_day_records,et_in_daily,et_out_daily,et_in_daily_last,et_out_daily_last,is_valid_day
2025-01-11,285,98.95833333333334,6.6,1.96,6.6,1.95,True
2025-01-12,285,98.95833333333334,6.44,2.26,6.44,2.22,True
2025-02-10,39,13.541666666666666,6.61,2.16,6.61,2.11,False
2025-02-11,286,99.30555555555556,6.55,2.19,6.55,2.12,True
2025-02-12,233,80.90277777777779,5.81,1.83,5.81,1.77,True
2025-03-10,282,97.91666666666666,5.81,1.89,5.81,1.84,True
2025-03-11,283,98.26388888888889,6.58,1.81,6.58,1.75,True
2025-03-12,285,98.95833333333334,6.14,2.43,6.14,2.35,True
2025-04-10,282,97.91666666666666,6.75,2.21,6.75,2.19,True
2025-04-11,283,98.26388888888889,7.16,2.1,7.16,2.01,True
2025-04-12,284,98.61111111111111,6.19,2.06,6.19,1.99,True
2025-05-10,286,99.30555555555556,6.17,2.0,6.17,1.9,True
2025-05-11,277,96.18055555555556,6.05,1.84,6.05,1.79,True
2025-05-12,285,98.95833333333334,5.92,1.36,5.92,1.26,True
2025-06-10,285,98.95833333333334,6.25,1.74,6.25,1.71,True
2025-06-11,280,97.22222222222221,5.68,1.42,5.68,1.41,True
2025-06-12,285,98.95833333333334,5.99,1.73,5.99,1.69,True
2025-07-10,284,98.61111111111111,6.4,1.91,6.4,1.84,True
2025-07-11,285,98.95833333333334,7.8,2.31,7.8,2.23,True
2025-07-12,285,98.95833333333334,6.22,2.27,6.22,2.19,True
2025-07-30,44,15.277777777777779,5.77,2.42,5.77,1.98,False
2025-07-31,82,28.47222222222222,3.79,0.0,3.79,0.0,False
2025-08-01,239,82.98611111111111,5.3,0.92,5.3,0.92,True
2025-08-04,181,62.84722222222222,5.38,0.0,5.38,0.0,False
2025-08-05,277,96.18055555555556,5.66,0.0,5.66,0.0,True
2025-08-06,277,96.18055555555556,6.35,2.1,6.35,2.06,True
2025-08-07,237,82.29166666666666,3.54,1.2,3.54,1.14,True
2025-08-08,270,93.75,4.68,1.53,4.68,1.51,True
2025-08-09,280,97.22222222222221,5.18,1.67,5.18,1.65,True
2025-08-10,424,147.22222222222223,6.1,2.4,6.1,2.37,True
2025-08-11,397,137.84722222222223,7.01,2.1,5.83,1.7,True
2025-08-12,421,146.18055555555557,6.86,2.29,5.93,2.24,True
2025-08-13,279,96.875,4.55,1.63,4.55,1.56,True
2025-08-14,276,95.83333333333334,6.16,2.26,6.16,2.2,True
2025-08-15,275,95.48611111111111,5.62,2.59,5.62,2.51,True
2025-08-16,280,97.22222222222221,5.26,1.78,5.26,1.68,True
2025-08-17,279,96.875,5.78,1.77,5.78,1.74,True
2025-08-18,244,84.72222222222221,5.89,2.3,5.89,2.25,True
2025-08-19,276,95.83333333333334,6.54,2.01,6.54,1.95,True
2025-08-20,265,92.01388888888889,7.06,2.42,7.06,2.41,True
2025-08-21,263,91.31944444444444,5.7,1.95,5.7,1.9,True
