family,target,predictor,n,pearson_r,spearman_rho
station_vs_satellite,et_base_out_mm_d,SAVI_mean,9,0.8141474610745223,0.6833333333333333
station_vs_satellite,et_base_out_mm_d,NDVI_mean,9,0.7614000106505923,0.6666666666666667
station_vs_satellite,et_base_out_mm_d,EVI_mean,9,0.7422666132152539,0.8166666666666667
station_vs_satellite,et_base_out_mm_d,NDRE_mean,9,0.6821236023613949,0.5666666666666667
station_vs_satellite,et_base_out_mm_d_w3_mean,NDVI_mean,9,0.6010463190431029,0.6666666666666667
station_vs_satellite,et_base_out_mm_d_w3_mean,SAVI_mean,9,0.5120881725789093,0.5333333333333333
station_vs_satellite,et_base_out_mm_d_w3_mean,NDRE_mean,9,0.43983124181054406,0.45
station_vs_satellite,et_base_out_mm_d_w3_mean,EVI_mean,9,0.36466945078038676,0.41666666666666663
station_vs_satellite,et_base_out_mm_d_w3_sum,EVI_mean,9,0.11303461835063569,0.3666666666666667
station_vs_satellite,et_base_out_mm_d_w3_sum,SAVI_mean,9,0.09732666854587319,0.33333333333333337
station_vs_satellite,et_base_out_mm_d_w3_sum,NDVI_mean,9,0.04981546020296427,0.45
station_vs_satellite,et_base_out_mm_d_w3_sum,NDRE_mean,9,-0.10961323829739801,0.15
station_vs_satellite,et_base_out_mm_d_w5_mean,NDVI_mean,9,0.6703642430026355,0.6359888306543495
station_vs_satellite,et_base_out_mm_d_w5_mean,NDRE_mean,9,0.5831020919936905,0.5020964452534339
station_vs_satellite,et_base_out_mm_d_w5_mean,SAVI_mean,9,0.4111455975236547,0.2677847708018314
station_vs_satellite,et_base_out_mm_d_w5_mean,EVI_mean,9,0.179927085848791,0.4435185266405332
station_vs_satellite,et_base_out_mm_d_w5_sum,EVI_mean,9,-0.015990399132592134,0.3765723339400754
station_vs_satellite,et_base_out_mm_d_w5_sum,SAVI_mean,9,-0.03820094442363107,0.1338923854009157
station_vs_satellite,et_base_out_mm_d_w5_sum,NDVI_mean,9,-0.053484926452156814,0.435150252552976
station_vs_satellite,et_base_out_mm_d_w5_sum,NDRE_mean,9,-0.18060680272924068,0.18410202992625907
station_vs_satellite,et_base_out_mm_d_w7_mean,NDVI_mean,9,0.5973108236624022,0.4666666666666666
station_vs_satellite,et_base_out_mm_d_w7_mean,NDRE_mean,9,0.4307509641791323,0.25
station_vs_satellite,et_base_out_mm_d_w7_mean,SAVI_mean,9,0.34737436102486063,0.2833333333333333
station_vs_satellite,et_base_out_mm_d_w7_mean,EVI_mean,9,0.0766756322053466,0.15
station_vs_satellite,et_base_out_mm_d_w7_sum,EVI_mean,9,-0.06482042064329742,0.09999999999999999
station_vs_satellite,et_base_out_mm_d_w7_sum,SAVI_mean,9,-0.10027174943026597,0.016666666666666666
station_vs_satellite,et_base_out_mm_d_w7_sum,NDVI_mean,9,-0.1452256428962771,0.19999999999999998
station_vs_satellite,et_base_out_mm_d_w7_sum,NDRE_mean,9,-0.29442059861349185,-0.16666666666666669
