date,year_station,month_station,day_station,year_month_station,iso_year_station,iso_week_station,week_id_station,doy_station,n_records,pct_day_records,is_valid_day,is_valid_day_by_coverage,is_valid_day_by_et,is_valid_day_by_temp,is_valid_day_by_rh,is_valid_day_by_rad,is_valid_day_analysis,et_base_out_mm_d,et_out_daily,et_out_daily_last,et_out_daily_max,et_out_last_minus_max,temp_out_mean,temp_out_min,temp_out_max,temp_range_out_c,rh_out_mean,rh_out_min,rh_out_max,rh_range_out_pct,rad_out_mean,rad_out_max,rad_acc_out_daily_max,par_out_mean,dli_out_max,vpd_out_mean,vpd_out_max,vpd_rad_product,dewpoint_out_mean,et_rad_ratio,flag_et_jump_high,flag_et_zero,flag_vpd_high_z,flag_temp_high_z,year_s2,month_s2,day_s2,year_month_s2,doy_s2,iso_year_s2,iso_week_s2,week_id_s2,image_id,datetime_utc,cloudy_pixel_percentage,valid_pixel_pct,is_valid_satellite_obs,n_obs_same_date,selected_from_duplicates,NDVI_mean,NDVI_median,NDVI_stdDev,EVI_mean,EVI_median,EVI_stdDev,SAVI_mean,SAVI_median,SAVI_stdDev,NDRE_mean,NDRE_median,NDRE_stdDev,ndvi_evi_diff,ndvi_savi_diff,flag_low_valid_pixel_pct,flag_high_scene_cloudiness,has_satellite_obs,is_merge_ready,year,month,day,year_month,doy,iso_year,iso_week,week_id,et_base_out_mm_d_w1_mean,et_base_out_mm_d_w1_sum,et_base_out_mm_d_w3_mean,et_base_out_mm_d_w5_mean,et_base_out_mm_d_w7_mean,et_base_out_mm_d_w3_sum,et_base_out_mm_d_w5_sum,et_base_out_mm_d_w7_sum,temp_out_mean_w1_mean,temp_out_mean_w1_sum,temp_out_mean_w3_mean,temp_out_mean_w5_mean,temp_out_mean_w7_mean,rh_out_mean_w1_mean,rh_out_mean_w1_sum,rh_out_mean_w3_mean,rh_out_mean_w5_mean,rh_out_mean_w7_mean,rad_out_mean_w1_mean,rad_out_mean_w1_sum,rad_out_mean_w3_mean,rad_out_mean_w5_mean,rad_out_mean_w7_mean,vpd_out_mean_w1_mean,vpd_out_mean_w1_sum,vpd_out_mean_w3_mean,vpd_out_mean_w5_mean,vpd_out_mean_w7_mean
2025-01-11,2025,1,11,2025-01,2025,2,2025-W02,11,285,98.95833333333334,True,True,True,True,True,True,True,1.96,1.96,1.95,1.96,-0.01,14.90280701754386,8.0,21.3,13.3,69.89473684210526,50,94,44,118.82736842105264,846.05,1015.97,315.6155087719298,26.99,0.582140350877193,1.2,69.17420594644506,9.12680701754386,0.01649451659196,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,2025,1,11,2025-01,11,2025,2,2025-W02,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,14.90280701754386,,14.90280701754386,14.90280701754386,14.90280701754386,69.89473684210526,,69.89473684210526,69.89473684210526,69.89473684210526,118.82736842105264,,118.82736842105264,118.82736842105264,118.82736842105264,0.582140350877193,,0.582140350877193,0.582140350877193,0.582140350877193
2025-01-12,2025,1,12,2025-01,2025,2,2025-W02,12,285,98.95833333333334,True,True,True,True,True,True,True,2.26,2.26,2.22,2.26,-0.0399999999999995,15.807017543859647,11.7,22.4,10.7,72.53684210526316,50,88,38,128.4434385964912,803.24,1098.19,341.0946666666666,29.16,0.5338245614035088,1.31,68.56626227393042,10.706105263157896,0.0175952934980186,False,False,False,False,2025.0,1.0,12.0,2025-01,12.0,2025.0,2.0,2025-W02,20250112T152651_20250112T152928_T18NXL,2025-01-12 15:31:38,2.314446,98.8325855184621,True,2.0,True,0.5520802283301408,0.6149061153769584,0.2750135861293731,0.4041523966372369,0.4044415246627506,0.2312541834383144,0.3619776931391283,0.3732859064071626,0.2052005252083275,0.412565829660201,0.4411256525612198,0.2233775550908463,0.1479278316929039,0.1901025351910125,False,False,True,True,2025,1,12,2025-01,12,2025,2,2025-W02,2.26,2.26,2.11,2.11,2.11,4.22,4.22,4.22,15.807017543859647,,15.354912280701754,15.354912280701754,15.354912280701754,72.53684210526316,,71.21578947368421,71.21578947368421,71.21578947368421,128.4434385964912,,123.63540350877193,123.63540350877193,123.63540350877193,0.5338245614035088,,0.5579824561403508,0.5579824561403508,0.5579824561403508
2025-02-10,2025,2,10,2025-02,2025,7,2025-W07,41,39,13.541666666666666,False,False,True,True,True,True,False,2.16,2.16,2.11,2.16,-0.0500000000000002,13.366666666666664,12.4,14.0,1.5999999999999996,77.05128205128206,72,83,11,0.0,0.0,1136.3,0.0,30.08,0.3525641025641026,0.44,0.0,9.412307692307692,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,2025,2,10,2025-02,41,2025,7,2025-W07,2.16,2.16,2.1266666666666665,2.1266666666666665,2.1266666666666665,6.38,6.38,6.38,13.366666666666664,,14.692163742690056,14.692163742690056,14.692163742690056,77.05128205128206,,73.16095366621683,73.16095366621683,73.16095366621683,0.0,,82.42360233918129,82.42360233918129,82.42360233918129,0.3525641025641026,,0.48950967161493475,0.48950967161493475,0.48950967161493475
2025-02-11,2025,2,11,2025-02,2025,7,2025-W07,42,286,99.30555555555556,True,True,True,True,True,True,True,2.19,2.19,2.12,2.19,-0.0699999999999998,15.624125874125872,11.2,22.2,11.0,67.64335664335664,48,84,36,120.66003496503497,1014.66,1035.26,313.62905594405595,26.91,0.6160489510489511,1.29,74.33248797373955,9.472727272727273,0.0181501687831817,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,2025,2,11,2025-02,42,2025,7,2025-W07,2.19,2.19,2.203333333333333,2.1425,2.1425,6.609999999999999,8.57,8.57,15.624125874125872,,14.932603361550727,14.92515427554901,14.92515427554901,67.64335664335664,,72.4104935999673,71.78155441050178,71.78155441050178,120.66003496503497,,83.03449118717539,91.98271049564471,91.98271049564471,0.6160489510489511,,0.5008125383388541,0.5211444914734389,0.5211444914734389
2025-02-12,2025,2,12,2025-02,2025,7,2025-W07,43,233,80.90277777777779,True,True,True,True,True,True,True,1.83,1.83,1.77,1.83,-0.06,15.206437768240344,11.8,21.5,9.7,75.05150214592274,54,91,37,107.47738197424891,845.11,751.27,284.1731330472103,19.86,0.4763519313304721,1.15,51.19705847777634,10.606351931330472,0.0170268382648031,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,2025,2,12,2025-02,43,2025,7,2025-W07,1.83,1.83,2.06,2.08,2.08,6.18,10.4,10.4,15.206437768240344,,14.732410103010958,14.981410974087277,14.981410974087277,75.05150214592274,,73.24871361352048,72.43554395758596,72.43554395758596,107.47738197424891,,76.04580564642795,95.08164479136555,95.08164479136555,0.4763519313304721,,0.48165499498117526,0.5121859794448456,0.5121859794448456
2025-03-10,2025,3,10,2025-03,2025,11,2025-W11,69,282,97.91666666666666,True,True,True,True,True,True,True,1.89,1.89,1.84,1.89,-0.0499999999999998,14.76241134751773,10.8,20.9,10.099999999999998,70.60283687943263,52,90,38,106.75574468085108,913.72,903.15,283.5704964539007,23.99,0.5321631205673759,1.16,56.81147022785575,9.247127659574469,0.0177039653055692,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,2025,3,10,2025-03,69,2025,11,2025-W11,1.89,1.89,1.97,2.066,2.0483333333333333,5.91,10.33,12.29,14.76241134751773,,15.197658329961314,14.953331840082052,14.944911036325687,70.60283687943263,,71.09923188957067,72.57716396505144,72.13009277789375,106.75574468085108,,111.63105387337832,92.66732004332523,97.02732810627981,0.5321631205673759,,0.5415213343155997,0.5021905333828821,0.5155155029652673
2025-03-11,2025,3,11,2025-03,2025,11,2025-W11,70,283,98.26388888888889,True,True,True,True,True,True,True,1.81,1.81,1.75,1.81,-0.06,15.268197879858656,11.0,22.6,11.6,75.96466431095406,49,92,43,98.14197879858658,869.46,833.23,259.2267137809187,22.01,0.4629328621908127,1.4,45.43314714629975,10.811342756183748,0.0184426686944493,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,2025,3,11,2025-03,70,2025,11,2025-W11,1.81,1.81,1.8433333333333335,1.9760000000000002,2.0142857142857142,5.53,9.88,14.1,15.268197879858656,,15.079015665205576,14.845567907281852,14.99109487111611,75.96466431095406,,73.87300111210315,73.26272840618962,72.67788871118807,98.14197879858658,,104.12503515122886,86.60702808374431,97.18656391946648,0.4629328621908127,,0.4904826380295535,0.4880121935403429,0.5080036971403452
2025-03-12,2025,3,12,2025-03,2025,11,2025-W11,71,285,98.95833333333334,True,True,True,True,True,True,True,2.43,2.43,2.35,2.43,-0.08,15.76736842105263,11.7,23.1,11.400000000000002,72.71578947368421,50,91,41,143.16515789473684,827.92,1224.06,377.3315789473684,32.26,0.5365263157894736,1.34,76.81187471468142,10.671754385964912,0.0169734035552608,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,2025,3,12,2025-03,71,2025,11,2025-W11,2.43,2.43,2.0433333333333334,2.0300000000000002,2.0814285714285714,6.13,10.15,14.57,15.76736842105263,,15.265992549476339,15.325708258159048,15.114603643045935,72.71578947368421,,73.09443022135696,72.39562989067005,73.08089622998507,143.16515789473684,,116.02096045805816,115.24005966269166,100.66339098713567,0.5365263157894736,,0.5105407661825541,0.5248046361854171,0.5014874064135281
2025-04-10,2025,4,10,2025-04,2025,15,2025-W15,100,282,97.91666666666666,True,True,True,True,True,True,True,2.21,2.21,2.19,2.21,-0.02,15.15,9.2,22.0,12.8,67.8936170212766,45,90,45,141.97556737588653,865.79,1201.11,374.1735815602837,31.66,0.6239007092198582,1.4,88.57865717770737,8.902836879432623,0.0155660585891439,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,2025,4,10,2025-04,100,2025,15,2025-W15,2.21,2.21,2.15,2.0340000000000003,2.0742857142857143,6.45,10.170000000000002,14.52,15.15,,15.39518876697043,15.230883083333874,15.020743993923128,67.8936170212766,,72.19135693530495,72.44568196625406,72.41757836084413,141.97556737588653,,127.76090135640332,119.50316614486198,102.59655224133499,0.6239007092198582,,0.5411199624000481,0.5263749878195985,0.5143554275301495
2025-04-11,2025,4,11,2025-04,2025,15,2025-W15,101,283,98.26388888888889,True,True,True,True,True,True,True,2.1,2.1,2.01,2.1,-0.0900000000000003,15.00106007067138,9.3,22.3,13.0,75.39929328621908,45,91,46,127.4813074204947,837.73,1082.32,336.4620141342756,28.57,0.4724734982332155,1.46,60.23153927630511,10.451766784452296,0.0164730033170525,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,2025,4,11,2025-04,101,2025,15,2025-W15,2.1,2.1,2.2466666666666666,2.088,2.0657142857142854,6.74,10.440000000000001,14.459999999999999,15.00106007067138,,15.306142830574672,15.189807543820077,15.254228765923802,75.39929328621908,,72.00289992705996,72.51524019431332,72.18157996583514,127.4813074204947,,137.54067756370603,123.50395123411116,120.80816758711993,0.4724734982332155,,0.5443001744141824,0.5255993012001472,0.5314853411971656
