variable,count,mean,min,max
temp_in_c,42281,17.718731818074314,5.6,40.0
temp_out_c,42281,14.965043400108796,5.3,28.2
rh_in_pct,42281,67.76334523781368,20.0,97.0
rh_out_pct,42281,72.59989120408694,30.0,96.0
rad_in_w_m2,42281,74.67583761027412,0.0,895.84
rad_out_w_m2,42281,116.07230883848536,0.0,1465.32
vpd_in_kpa,42281,0.8976847756675578,0.04,5.83
vpd_out_kpa,42281,0.516330739575696,0.05,2.58
et_in_mm,42281,4.171004943118659,0.0,7.8
et_out_mm,42281,1.1261900144272843,0.0,2.98
et_in_daily,158,6.0111392405063295,3.54,7.8
et_out_daily,158,1.925253164556962,0.0,2.98
